ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.1065,-1.0987,8.0121,2.6569,-1.0379,9.3827,15.12,7.68,-48.66,340.92,-12.25,14.49,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,18,2017-04-02 17:49:56:674
0.5108,0.0429,8.6965,-0.3986,0.1857,9.7968,8.04,15.84,-48.66,341.7,0.48,3.31,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,117,2017-04-02 17:49:56:773
-1.5432,5.3513,6.3563,-0.6058,0.9484,9.7419,9.0,17.46,-48.72,356.93,-2.81,6.86,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,218,2017-04-02 17:49:56:874
0.6923,0.1802,9.8561,-0.2959,0.2574,9.7988,15.0,12.54,-48.66,349.82,-12.93,12.18,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,317,2017-04-02 17:49:56:973
-0.461,2.636,8.584,0.5021,0.9979,9.7428,17.1,6.54,-48.6,350.08,-14.71,13.66,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,418,2017-04-02 17:49:57:074
0.195,-0.6036,10.4983,0.1134,-0.246,9.8029,13.98,1.32,-49.38,333.59,-22.11,4.85,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,518,2017-04-02 17:49:57:174
-0.869,-0.2138,9.8307,-0.0057,-0.2581,9.8033,9.54,1.44,-50.52,340.68,-18.22,5.78,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,617,2017-04-02 17:49:57:273
-1.034,0.9749,9.4692,0.0163,0.1519,9.8055,9.3,5.4,-50.88,350.4,-17.18,6.26,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,717,2017-04-02 17:49:57:373
-1.0512,-0.0566,11.4806,-0.2214,0.13,9.8033,9.42,6.6,-50.94,354.24,-18.14,7.47,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,817,2017-04-02 17:49:57:473
0.7748,-2.3911,12.5963,0.054,-0.1955,9.8046,9.48,6.24,-50.82,353.12,-19.1,6.99,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,923,2017-04-02 17:49:57:579
0.8636,-0.4739,8.9608,0.0103,0.0971,9.8062,8.7,5.76,-50.76,352.21,-18.48,6.66,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,1018,2017-04-02 17:49:57:674
0.5357,0.3727,8.1704,0.0182,0.1433,9.8056,6.96,4.14,-51.3,352.19,-19.61,5.56,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,1118,2017-04-02 17:49:57:774
0.3769,0.513,8.9692,0.0921,0.0593,9.806,6.48,3.06,-51.84,355.44,-20.71,4.72,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,1218,2017-04-02 17:49:57:874
0.6784,0.362,10.3357,0.0342,-0.2157,9.8042,5.28,2.64,-51.9,354.48,-19.25,4.46,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,1318,2017-04-02 17:49:57:974
-0.6181,1.0213,10.0954,-0.3707,-0.1737,9.7981,4.2,3.66,-51.78,6.24,-17.07,6.7,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,1417,2017-04-02 17:49:58:073
0.1891,0.3256,10.3351,-0.084,0.0323,9.8062,4.56,5.82,-51.6,9.91,-14.97,9.19,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,1517,2017-04-02 17:49:58:173
0.4698,-0.2972,11.5367,0.2883,0.1884,9.8006,7.68,8.22,-51.06,0.51,-16.59,9.14,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,1618,2017-04-02 17:49:58:274
-0.3501,-1.0254,9.4294,-0.1433,0.0317,9.8056,7.74,7.92,-51.0,351.76,-17.73,5.16,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,1717,2017-04-02 17:49:58:373
-0.4196,-0.4799,9.2943,0.0116,0.0062,9.8066,4.26,7.14,-51.42,1.03,-18.36,7.17,42.32249,-83.479965,558.06,684.6673730879385,0.0,9.677419,,17 / 21,1817,2017-04-02 17:49:58:473
-0.1051,-0.0691,8.9161,-0.0717,-0.0847,9.806,3.84,6.6,-51.36,5.68,-17.23,6.92,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,1919,2017-04-02 17:49:58:575
-0.5928,0.9224,8.8251,0.2993,-0.0165,9.8021,3.36,5.88,-51.48,6.76,-16.53,7.18,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2017,2017-04-02 17:49:58:673
-1.3434,0.4262,10.9631,-0.0708,0.026,9.8064,0.9,5.76,-51.84,7.55,-16.74,4.13,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2117,2017-04-02 17:49:58:773
-0.6989,-0.8269,13.5691,-0.0764,-0.0972,9.8059,-0.54,6.42,-51.48,15.81,-15.93,5.14,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2218,2017-04-02 17:49:58:874
1.2225,-2.8078,12.092,0.3483,-0.3041,9.7957,-0.72,7.5,-51.3,10.05,-14.11,2.89,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2317,2017-04-02 17:49:58:973
1.0487,-0.2926,8.2614,0.28,0.0748,9.8024,-4.62,6.96,-51.24,358.69,-18.4,-3.98,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2417,2017-04-02 17:49:59:073
-0.6345,1.418,5.9698,-0.1643,0.0754,9.805,-11.1,4.98,-50.58,14.3,-17.73,-6.4,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2517,2017-04-02 17:49:59:173
0.3153,0.7178,12.8017,-0.7416,0.387,9.7709,-12.42,5.16,-50.04,27.3,-18.79,-1.37,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2617,2017-04-02 17:49:59:273
0.9482,0.6824,12.8521,0.4354,0.4204,9.788,-10.62,2.4,-50.46,18.23,-22.25,-3.95,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2717,2017-04-02 17:49:59:373
0.3554,-0.1651,11.1162,-0.1645,0.4212,9.7962,-11.04,-1.5,-50.7,17.56,-27.57,-4.14,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2818,2017-04-02 17:49:59:474
0.0519,0.0245,7.7374,-0.6078,0.0645,9.7876,-11.64,-2.64,-50.76,20.45,-26.27,-4.59,42.322495,-83.479965,558.06,684.6673730879385,2.45,9.677419,305.9,17 / 21,2918,2017-04-02 17:49:59:574
-0.3265,-0.4432,7.5084,-0.7318,0.0208,9.7793,-11.04,-2.88,-50.88,30.22,-24.82,-0.12,42.32251,-83.479965,554.84,684.6673730879385,3.71,9.677419,347.3,17 / 21,3017,2017-04-02 17:49:59:673
-1.9193,0.0308,7.6066,-1.7582,-0.9024,9.6055,-3.24,3.42,-51.84,29.15,-15.14,6.74,42.32251,-83.479965,554.84,684.6673730879385,3.71,9.677419,347.3,17 / 21,3117,2017-04-02 17:49:59:773
3.1836,-5.2528,13.9872,0.3221,-0.1488,9.8002,-2.22,6.84,-51.54,14.25,-15.76,3.36,42.32251,-83.479965,554.84,684.6673730879385,3.71,9.677419,347.3,17 / 21,3217,2017-04-02 17:49:59:873
2.7456,-1.9392,9.6636,0.0251,0.1317,9.8057,-2.76,9.48,-51.72,14.45,-14.45,2.84,42.32251,-83.479965,554.84,684.6673730879385,3.71,9.677419,347.3,17 / 21,3318,2017-04-02 17:49:59:974
-0.3769,-0.436,7.7747,-1.3394,0.6813,9.6908,3.24,10.02,-51.66,32.45,-13.27,13.96,42.32251,-83.479965,554.84,684.6673730879385,3.71,9.677419,347.3,17 / 21,3417,2017-04-02 17:50:00:073
1.4813,-1.2322,5.631,-0.5297,0.1396,9.7913,19.32,10.08,-47.28,32.4,-9.65,35.13,42.32251,-83.479965,554.84,684.6673730879385,3.71,9.677419,347.3,17 / 21,3517,2017-04-02 17:50:00:173
-4.7832,1.8266,13.6836,-3.7345,-0.3687,9.0602,32.58,17.1,-35.52,23.01,-1.91,44.5,42.32251,-83.479965,554.84,684.6673730879385,3.71,9.677419,347.3,17 / 21,3618,2017-04-02 17:50:00:274
-0.0446,3.443,15.1994,-0.8791,1.1644,9.6975,38.88,27.72,-20.34,18.77,7.16,72.85,42.32251,-83.479965,554.84,684.6673730879385,3.71,9.677419,347.3,17 / 21,3718,2017-04-02 17:50:00:374
-2.4926,-4.4102,16.6044,-0.0134,-0.1357,9.8057,41.22,30.12,-15.12,359.96,2.92,69.88,42.32251,-83.479965,554.84,684.6673730879385,3.71,9.677419,347.3,17 / 21,3818,2017-04-02 17:50:00:474
-2.1895,-1.1863,11.9326,-1.0791,0.3404,9.7411,43.8,27.18,-13.32,4.11,3.17,74.28,42.322525,-83.47996,554.84,684.6673730879385,5.11,9.677419,351.2,17 / 21,3918,2017-04-02 17:50:00:574
1.0338,0.5805,5.141,-0.3114,0.6783,9.7782,46.02,23.76,-7.26,6.33,-3.29,84.99,42.322525,-83.47996,554.84,684.6673730879385,5.11,9.677419,351.2,17 / 21,4017,2017-04-02 17:50:00:673
-0.1926,0.2476,10.3143,-0.5933,-0.0379,9.7886,47.7,19.32,-1.68,359.92,-5.34,86.3,42.322525,-83.47996,554.84,684.6673730879385,5.11,9.677419,351.2,17 / 21,4117,2017-04-02 17:50:00:773
