ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.5371,-1.3457,10.4412,-0.4156,-0.6316,9.7775,-8.82,-2.94,-50.16,81.73,-6.57,9.51,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,10,2017-04-02 18:02:10:005
-0.3883,-1.3591,9.905,-0.0514,-0.0752,9.8062,-10.62,-0.12,-49.98,74.78,-6.76,8.32,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,110,2017-04-02 18:02:10:105
-0.156,-1.0995,9.0677,0.1249,0.0134,9.8058,-13.02,0.18,-49.62,71.24,-6.54,3.97,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,209,2017-04-02 18:02:10:204
0.0826,-0.1575,9.5023,-0.1615,0.1562,9.8041,-14.16,-0.12,-49.32,71.37,-7.21,4.48,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,309,2017-04-02 18:02:10:304
-0.4705,0.0199,10.7592,0.0893,0.0884,9.8058,-14.04,-0.12,-49.26,73.34,-6.88,5.86,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,410,2017-04-02 18:02:10:405
1.0243,0.464,9.4003,0.2098,0.0133,9.8044,-12.6,0.24,-49.62,63.82,-11.16,6.92,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,510,2017-04-02 18:02:10:505
0.6479,0.2696,8.9071,0.6343,-0.1671,9.7847,-11.7,-1.56,-49.86,59.62,-12.77,5.43,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,610,2017-04-02 18:02:10:605
-0.281,-0.1451,10.639,0.0179,0.0261,9.8066,-13.14,-3.96,-49.56,54.26,-16.06,0.91,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,710,2017-04-02 18:02:10:705
-0.3157,0.9309,9.451,0.1382,0.1499,9.8045,-14.82,-5.22,-49.2,57.63,-17.2,1.36,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,810,2017-04-02 18:02:10:805
0.844,1.209,9.9727,0.0272,0.2873,9.8024,-15.0,-6.54,-48.96,62.01,-19.39,3.1,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,910,2017-04-02 18:02:10:905
-0.2925,0.0793,9.7994,0.0939,0.1968,9.8042,-14.82,-7.8,-48.96,62.95,-20.65,4.0,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1010,2017-04-02 18:02:11:005
0.0182,0.5722,10.2879,0.1513,0.1787,9.8039,-13.5,-9.42,-48.9,62.34,-22.28,5.29,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1110,2017-04-02 18:02:11:105
-0.3281,0.505,9.8753,-0.0098,0.0472,9.8065,-11.88,-10.2,-48.9,59.95,-23.88,6.35,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1211,2017-04-02 18:02:11:206
-0.0761,0.0315,10.2517,-0.0128,-0.021,9.8066,-11.16,-10.8,-49.02,61.38,-23.97,6.9,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1311,2017-04-02 18:02:11:306
0.3137,0.5295,10.1079,0.181,0.1151,9.8043,-10.8,-11.16,-48.96,61.48,-23.77,6.68,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1410,2017-04-02 18:02:11:405
0.0579,0.1871,9.7591,0.0857,0.022,9.8063,-11.16,-11.76,-48.96,59.6,-25.98,7.03,42.322384,-83.47919,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1510,2017-04-02 18:02:11:505
0.3771,-0.0544,9.6157,0.2754,0.071,9.8025,-11.52,-13.56,-49.02,58.82,-27.14,6.66,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1611,2017-04-02 18:02:11:606
-0.4523,0.1633,9.8848,0.0976,-0.0396,9.8061,-11.88,-15.18,-48.84,57.45,-29.61,5.29,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1710,2017-04-02 18:02:11:705
-0.0442,0.2184,9.7305,0.0643,0.0791,9.8061,-12.12,-15.96,-48.42,57.95,-30.4,5.32,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1810,2017-04-02 18:02:11:805
0.0559,0.2967,9.0533,-0.0565,0.0733,9.8062,-12.3,-16.5,-48.0,57.83,-31.16,5.54,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,1910,2017-04-02 18:02:11:905
-0.2464,0.7451,10.5955,0.1178,0.1888,9.8041,-11.82,-17.4,-47.64,59.87,-32.24,6.91,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,2009,2017-04-02 18:02:12:004
-1.4629,0.7151,10.7023,-0.0895,-0.0715,9.806,-10.62,-17.52,-47.7,61.26,-32.05,7.2,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,2110,2017-04-02 18:02:12:105
-0.033,-0.051,10.5944,0.1916,-0.0288,9.8047,-10.56,-17.52,-48.0,59.2,-32.28,6.24,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,2210,2017-04-02 18:02:12:205
-0.0154,-0.307,10.0628,0.0735,-0.1404,9.8054,-11.4,-17.64,-47.76,56.32,-32.4,4.74,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,2310,2017-04-02 18:02:12:305
0.3299,-0.453,9.4347,0.1586,-0.336,9.7996,-12.48,-17.7,-47.46,54.11,-32.29,2.41,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,2410,2017-04-02 18:02:12:405
0.0417,-0.015,9.8426,0.0504,-0.0479,9.8064,-16.26,-16.98,-46.98,53.32,-31.12,-2.9,42.322388,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,2511,2017-04-02 18:02:12:506
0.0446,0.1479,9.9501,0.0549,0.0064,9.8065,-18.66,-16.44,-46.38,51.57,-31.71,-3.94,42.322384,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,2611,2017-04-02 18:02:12:606
-0.0902,0.1767,9.4707,0.0128,-0.0714,9.8064,-19.26,-17.22,-46.32,54.78,-31.86,-4.87,42.322384,-83.479195,545.16,685.9405407407924,0.0,9.677419,,18 / 21,2710,2017-04-02 18:02:12:705
