ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1545,0.0607,9.9203,-0.0079,0.0455,9.8065,-10.08,-18.54,-47.28,96.57,-20.73,-0.48,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,19,2017-04-02 17:40:42:629
0.1673,-0.0553,9.955,-0.0055,0.0017,9.8066,-10.14,-19.32,-47.34,98.0,-20.41,0.25,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,119,2017-04-02 17:40:42:729
-0.1966,0.0751,10.7978,-0.0025,-0.0565,9.8065,-10.2,-19.62,-47.4,103.61,-20.31,0.15,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,219,2017-04-02 17:40:42:829
-0.1949,0.3126,9.7886,0.0416,0.0205,9.8065,-10.32,-18.24,-47.46,90.38,-20.87,-0.12,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,319,2017-04-02 17:40:42:929
0.0803,0.0561,9.422,-0.0145,0.1036,9.8061,-10.32,-18.24,-47.46,84.88,-21.6,0.28,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,420,2017-04-02 17:40:43:030
0.2738,0.3047,9.9485,0.0189,0.1,9.8061,-9.36,-18.18,-47.4,87.55,-21.64,2.16,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,519,2017-04-02 17:40:43:129
0.1507,0.2162,9.9304,-0.0621,-0.0745,9.8062,-8.16,-18.24,-47.1,88.97,-21.25,1.71,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,619,2017-04-02 17:40:43:229
0.6256,-0.2189,9.5413,0.12,0.0104,9.8059,-9.18,-18.48,-46.98,87.84,-21.4,1.0,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,720,2017-04-02 17:40:43:330
0.3323,-0.0888,10.0739,0.2654,0.1059,9.8025,-9.36,-18.9,-46.44,79.09,-25.49,3.93,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,819,2017-04-02 17:40:43:429
-0.004,0.7477,10.4924,0.1776,0.5155,9.7915,-6.84,-22.08,-44.76,80.54,-27.71,4.77,42.323025,-83.47979,551.61,683.983630960915,0.0,9.677419,,16 / 23,919,2017-04-02 17:40:43:529
