sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0795;-0.0374;9.7782;-0.3753;0.1129;9.7988;0.9924;-0.444;-0.6723;-0.2708;-0.3074;-0.3074;3029.0;-2.35;-29.89;-44.37;155.42;-14.39;8.36;2.0;990.74;22.595;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;11;2017-04-10 18:23:42:466
0.7103;-0.6173;9.8142;-0.4919;0.1627;9.793;0.636;-0.5014;0.2921;-0.1472;-0.0795;-0.1114;3138.0;-2.35;-29.89;-44.37;155.42;-14.39;8.36;2.0;990.74;22.595;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;110;2017-04-10 18:23:42:565
1.4706;-0.8824;9.2952;-0.4919;0.1627;9.793;1.2488;-0.6849;0.0552;0.1351;-0.0667;-0.0166;3138.0;-7.2;-28.94;-45.15;148.22;-12.32;6.09;2.0;990.74;22.28;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;211;2017-04-10 18:23:42:666
-0.7216;-1.2275;11.9817;0.0467;-0.242;9.8036;1.5174;-0.3236;-0.3752;0.0424;-0.3468;-0.0401;3138.0;-7.2;-28.94;-45.15;148.22;-12.32;6.09;2.0;990.74;22.28;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;311;2017-04-10 18:23:42:766
-0.9737;-1.163;11.9759;-0.1307;-0.5096;9.7925;-0.2337;-0.1521;1.8112;0.0424;-0.3468;-0.0401;3071.0;-8.92;-29.1;-44.45;145.46;-14.44;3.8;2.0;990.74;22.28;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;411;2017-04-10 18:23:42:866
-1.5151;-1.0661;8.4079;-0.3298;-0.051;9.801;-2.824;0.2059;3.5834;-0.2016;-0.8092;-0.2467;3071.0;-10.45;-29.4;-43.95;147.29;-13.58;2.0;2.0;990.77;21.015;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;511;2017-04-10 18:23:42:966
-0.6179;-0.6239;7.9088;0.6185;0.0727;9.7869;-2.824;0.2059;3.5834;0.5378;0.4926;-0.2062;3071.0;-10.45;-29.4;-43.95;147.29;-13.58;2.0;2.0;990.77;21.015;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;611;2017-04-10 18:23:43:066
-0.3877;-1.4573;7.7589;0.119;0.7656;9.776;-1.3504;-1.0362;-1.9222;-0.4945;0.6236;-0.1359;3071.0;-10.04;-30.08;-43.54;141.56;-15.16;5.39;2.0;990.74;21.015;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;711;2017-04-10 18:23:43:166
0.2801;-0.0018;8.9702;0.119;0.7656;9.776;-0.1937;-2.175;-2.3022;-0.5829;0.1507;-0.6877;3434.0;-9.79;-30.3;-43.54;141.56;-15.16;5.39;2.0;990.74;21.172;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;811;2017-04-10 18:23:43:266
0.1461;-0.8217;11.568;-0.0757;1.3883;9.7076;0.6725;-1.4929;-0.9901;-0.568;-0.0539;-0.0933;3434.0;-9.79;-30.3;-43.54;141.56;-15.16;5.39;2.0;990.76;21.172;42.3177;-83.23046;500.0;NaN;;0.0;19.35484;;15 / 20;911;2017-04-10 18:23:43:366
